Row Type,Action,Keyword status,Level,Campaign ID,Campaign,Ad group ID,Ad group,Keyword ID,Negative keyword,Type
Negative keyword,Add,Enabled,Ad group,,Search - Delegation admin PV installateurs,,Consuel Raccordement,,soi même,Broad match
Negative keyword,Add,Enabled,Ad group,,Search - Delegation admin PV installateurs,,Consuel Raccordement,,soi meme,Broad match
Negative keyword,Add,Enabled,Ad group,,Search - Delegation admin PV installateurs,,Consuel Raccordement,,plug and play,Broad match
Negative keyword,Add,Enabled,Ad group,,Search - Delegation admin PV installateurs,,Consuel Raccordement,,kit solaire,Broad match
Negative keyword,Add,Enabled,Ad group,,Search - Delegation admin PV installateurs,,Consuel Raccordement,,au sol,Broad match
Negative keyword,Add,Enabled,Ad group,,Search - Delegation admin PV installateurs,,Consuel Raccordement,,maison,Broad match
Negative keyword,Add,Enabled,Ad group,,Search - Delegation admin PV installateurs,,Consuel Raccordement,,prix installation,Broad match
Negative keyword,Add,Enabled,Ad group,,Search - Delegation admin PV installateurs,,Consuel Raccordement,,entretien,Broad match
Negative keyword,Add,Enabled,Ad group,,Search - Delegation admin PV installateurs,,Pilotage complet,,comment,Broad match
Negative keyword,Add,Enabled,Ad group,,Search - Delegation admin PV installateurs,,Pilotage complet,,comment déclarer,Broad match
Negative keyword,Add,Enabled,Ad group,,Search - Delegation admin PV installateurs,,Pilotage complet,,comment faire,Broad match
Negative keyword,Add,Enabled,Ad group,,Search - Delegation admin PV installateurs,,Pilotage complet,,sans autorisation,Broad match
Negative keyword,Add,Enabled,Ad group,,Search - Delegation admin PV installateurs,,Pilotage complet,,schéma,Broad match
Negative keyword,Add,Enabled,Ad group,,Search - Delegation admin PV installateurs,,Pilotage complet,,schema,Broad match
Negative keyword,Add,Enabled,Ad group,,Search - Delegation admin PV installateurs,,Pilotage complet,,schéma électrique,Broad match
Negative keyword,Add,Enabled,Ad group,,Search - Delegation admin PV installateurs,,Pilotage complet,,schema electrique,Broad match
Negative keyword,Add,Enabled,Ad group,,Search - Delegation admin PV installateurs,,Pilotage complet,,branchement,Broad match
Negative keyword,Add,Enabled,Ad group,,Search - Delegation admin PV installateurs,,Pilotage complet,,brancher,Broad match
Negative keyword,Add,Enabled,Ad group,,Search - Delegation admin PV installateurs,,Pilotage complet,,câblage,Broad match
Negative keyword,Add,Enabled,Ad group,,Search - Delegation admin PV installateurs,,Pilotage complet,,cablage,Broad match
Negative keyword,Add,Enabled,Ad group,,Search - Delegation admin PV installateurs,,Pilotage complet,,en parallèle,Broad match
Negative keyword,Add,Enabled,Ad group,,Search - Delegation admin PV installateurs,,Pilotage complet,,en parallele,Broad match
Negative keyword,Add,Enabled,Ad group,,Search - Delegation admin PV installateurs,,Pilotage complet,,exemple,Broad match
Negative keyword,Add,Enabled,Ad group,,Search - Delegation admin PV installateurs,,Pilotage complet,,pdf,Broad match
Negative keyword,Add,Enabled,Ad group,,Search - Delegation admin PV installateurs,,Pilotage complet,,cerfa,Broad match
Negative keyword,Add,Enabled,Ad group,,Search - Delegation admin PV installateurs,,Pilotage complet,,gratuit,Broad match
Negative keyword,Add,Enabled,Ad group,,Search - Delegation admin PV installateurs,,Pilotage complet,,modèle,Broad match
Negative keyword,Add,Enabled,Ad group,,Search - Delegation admin PV installateurs,,Pilotage complet,,modele,Broad match
Negative keyword,Add,Enabled,Ad group,,Search - Delegation admin PV installateurs,,Pilotage complet,,formulaire,Broad match
Negative keyword,Add,Enabled,Ad group,,Search - Delegation admin PV installateurs,,Pilotage complet,,impôt,Broad match
Negative keyword,Add,Enabled,Ad group,,Search - Delegation admin PV installateurs,,Pilotage complet,,impot,Broad match
Negative keyword,Add,Enabled,Ad group,,Search - Delegation admin PV installateurs,,Pilotage complet,,revenus,Broad match
Negative keyword,Add,Enabled,Ad group,,Search - Delegation admin PV installateurs,,Pilotage complet,,particulier,Broad match
Negative keyword,Add,Enabled,Ad group,,Search - Delegation admin PV installateurs,,Pilotage complet,,soi même,Broad match
Negative keyword,Add,Enabled,Ad group,,Search - Delegation admin PV installateurs,,Pilotage complet,,soi meme,Broad match
Negative keyword,Add,Enabled,Ad group,,Search - Delegation admin PV installateurs,,Pilotage complet,,plug and play,Broad match
Negative keyword,Add,Enabled,Ad group,,Search - Delegation admin PV installateurs,,Pilotage complet,,kit solaire,Broad match
Negative keyword,Add,Enabled,Ad group,,Search - Delegation admin PV installateurs,,Pilotage complet,,au sol,Broad match
Negative keyword,Add,Enabled,Ad group,,Search - Delegation admin PV installateurs,,Pilotage complet,,maison,Broad match
Negative keyword,Add,Enabled,Ad group,,Search - Delegation admin PV installateurs,,Pilotage complet,,prix installation,Broad match
Negative keyword,Add,Enabled,Ad group,,Search - Delegation admin PV installateurs,,Pilotage complet,,entretien,Broad match
