Action,Keyword status,Campaign,Ad group,Keyword,Match Type,Default max. CPC,Final URL,Label
Add,Enabled,Search - Consuel Raccordement,Consuel PV,consuel photovoltaïque,Phrase match,1.50,https://sunelys.fr/dossier-consuel-photovoltaique?utm_source=google&utm_medium=cpc&utm_campaign=search_consuel_raccordement&utm_content=broaden_consuel,Consuel volume
Add,Enabled,Search - Consuel Raccordement,Consuel PV,consuel photovoltaïque,Exact match,1.50,https://sunelys.fr/dossier-consuel-photovoltaique?utm_source=google&utm_medium=cpc&utm_campaign=search_consuel_raccordement&utm_content=broaden_consuel,Consuel volume
Add,Enabled,Search - Consuel Raccordement,Consuel PV,consuel panneau solaire,Phrase match,1.50,https://sunelys.fr/dossier-consuel-photovoltaique?utm_source=google&utm_medium=cpc&utm_campaign=search_consuel_raccordement&utm_content=broaden_consuel,Consuel volume
Add,Enabled,Search - Consuel Raccordement,Consuel PV,dossier consuel panneau solaire,Phrase match,1.50,https://sunelys.fr/dossier-consuel-photovoltaique?utm_source=google&utm_medium=cpc&utm_campaign=search_consuel_raccordement&utm_content=broaden_consuel,Consuel volume
Add,Enabled,Search - Consuel Raccordement,Consuel PV,attestation consuel photovoltaïque,Phrase match,1.50,https://sunelys.fr/dossier-consuel-photovoltaique?utm_source=google&utm_medium=cpc&utm_campaign=search_consuel_raccordement&utm_content=broaden_consuel,Consuel volume
Add,Enabled,Search - Consuel Raccordement,Raccordement Enedis,raccordement enedis photovoltaïque,Phrase match,1.50,https://sunelys.fr/raccordement-enedis-photovoltaique?utm_source=google&utm_medium=cpc&utm_campaign=search_consuel_raccordement&utm_content=broaden_raccordement,Raccordement volume
Add,Enabled,Search - Consuel Raccordement,Raccordement Enedis,raccordement panneau solaire enedis,Phrase match,1.50,https://sunelys.fr/raccordement-enedis-photovoltaique?utm_source=google&utm_medium=cpc&utm_campaign=search_consuel_raccordement&utm_content=broaden_raccordement,Raccordement volume
Add,Enabled,Search - Consuel Raccordement,Raccordement Enedis,raccordement panneaux solaires,Phrase match,1.50,https://sunelys.fr/raccordement-enedis-photovoltaique?utm_source=google&utm_medium=cpc&utm_campaign=search_consuel_raccordement&utm_content=broaden_raccordement,Raccordement volume
Add,Enabled,Search - Consuel Raccordement,Raccordement Enedis,demande raccordement enedis photovoltaïque,Phrase match,1.50,https://sunelys.fr/raccordement-enedis-photovoltaique?utm_source=google&utm_medium=cpc&utm_campaign=search_consuel_raccordement&utm_content=broaden_raccordement,Raccordement volume
Add,Enabled,Search - Consuel Raccordement,Raccordement Enedis,dossier raccordement photovoltaïque,Phrase match,1.50,https://sunelys.fr/raccordement-enedis-photovoltaique?utm_source=google&utm_medium=cpc&utm_campaign=search_consuel_raccordement&utm_content=broaden_raccordement,Raccordement volume
